t0 b0 RR (seg) b1 t1 
    0: 00,000 [0] 0,547 N 0: 00,547
    0: 00.547 N 0.728 N 0: 01.275
    0: 01,275 N 0,692 N 0: 01,967
    0: 01.967 N 0.714 N 0: 02.681
    0: 02,681 N 0,714 N 0: 03,394
    0: 03.394 N 0.714 N 0: 04.108
    0: 04.108 N 0.728 N 0: 04.836
    0: 04.836 N 0.761 N 0: 05.597
    0: 05,597 N 0,756 N 0: 06,353
    0: 06,353 N 0,731 N 0: 07,083
    0: 07,083 N 0,703 N 0: 07,786
    0: 07.786 N 0.692 N 0: 08.478
    0: 08.478 N 0.697 N 0: 09.175
    0: 09.175 N 0.722 N 0: 09.897
    0: 09,897 N 0,756 N 0: 10,653
    0: 10,653 N 0,742 N 0: 11,394
    0: 11.394 N 0.747 N 0: 12.142
    0: 12,142 N 0,733 N 0: 12,875
    0: 12,875 N 0,739 N 0: 13,614
    0: 13,614 N 0,703 N 0: 14,317
    0: 14,317 N 0,703 N 0: 15,019
    0: 15,019 N 0,428 V 0: 15,447
    0: 15,447 V 1,006 N 0: 16,453
    0: 16,453 N 0,756 N 0: 17,208
    0: 17,208 N 0,758 N 0: 17,967
    0: 17,967 N 0,744 N 0: 18,711
    0: 18,711 N 0,722 N 0: 19,433
    0: 19,433 N 0,694 N 0: 20,1228
    0: 20,1228 N 0,722 N 0: 20,850
    0: 20,850 N 0,725 N 0: 21,575
    0: 21,575 N 0,431 V 0: 22,006
    0: 22,006 V 1,022 N 0: 23,028
    0: 23,028 N 0,761 N 0: 23,789
    0: 23,789 N 0,736 N 0: 24,525
    0: 24,525 N 0,733 N 0: 25,258
    0: 25,258 N 0,714 N 0: 25,972
    0: 25,972 N 0,694 N 0: 26,667
    0: 26,667 N 0,681 N 0: 27,347
    0: 27,347 N 0,722 N 0: 28,069
    0: 28.069 N 0.764 N 0: 28.833
    0: 28,833 N 0,736 N 0: 29,569
    0: 29.569 N 0.731 N 0: 30.300
    0: 30,300 N 0,722 N 0: 31,022
    0: 31,022 N 0,711 N 0: 31,733
    0: 31,733 N 0,700 N 0: 32,433
    0: 32,433 N 0,708 N 0: 33,142
    0: 33.142 N 0.711 N 0: 33.853
    0: 33,853 N 0,728 N 0: 34,581
    0: 34,581 N 0,489 V 0: 35,069
    0: 35,069 V 1,006 N 0: 36,075
    0: 36,075 N 0,736 N 0: 36,811
    0: 36,811 N 0,708 N 0: 37,519
    0: 37,519 N 0,689 N 0: 38,208
    0: 38,208 N 0,697 N 0: 38,906
    0: 38,906 N 0,686 N 0: 39,592
    0: 39,592 N 0,733 N 0: 40,325
    0: 40,325 N 0,747 N 0: 41,072
    0: 41,072 N 0,742 N 0: 41,814
    0: 41,814 N 0,717 N 0: 42,531
    0: 42,531 N 0,733 N 0: 43,264
    0: 43,264 N 0,719 N 0: 43,983
    0: 43,983 N 0,694 N 0: 44,678
    0: 44,678 N 0,697 N 0: 45,375
    0: 45,375 N 0,708 N 0: 46,083
    0: 46,083 N 0,733 N 0: 46,817
    0: 46,817 N ​​0,761 N 0: 47,578
    0: 47,578 N 0,750 N 0: 48,328
    0: 48,328 N 0,728 N 0: 49,056
    0: 49,056 N 0,711 N 0: 49,767
    0: 49,767 N 0,700 N 0: 50,467
    0: 50,467 N 0,717 N 0: 51,183
    0: 51.183 N 0.711 N 0: 51.894
    0: 51,894 N 0,733 N 0: 52,628
    0: 52,628 N 0,742 N 0: 53,369
    0: 53,369 N 0,750 N 0: 54,1919
    0: 54.119 N 0.733 N 0: 54.853
    0: 54,853 N 0,725 N 0: 55,578
    0: 55,578 N 0,706 N 0: 56,283
    0: 56,283 N 0,703 N 0: 56,986
    0: 56,986 N 0,692 N 0: 57,678
    0: 57,678 N 0,742 N 0: 58,419
    0: 58,419 N 0,475 V 0: 58,894
    0: 58,894 V 1,039 N 0: 59,933
    0: 59,933 N 0,728 N 1: 00,661
    1: 00,661 N 0,728 N 1: 01,389
    1: 01,389 N 0,697 N 1: 02,086
    1: 02,086 N 0,703 N 1: 02,789
    1: 02.789 N 0.711 N 1: 03.500
    1: 03.500 N 0.706 N 1: 04.206
    1: 04,206 N 0,728 N 1: 04,933
    1: 04.933 N 0.736 N 1: 05.669
    1: 05.669 N 0.764 N 1: 06.433
    1: 06.433 N 0.733 N 1: 07.167
    1: 07.167 N 0.692 N 1: 07.858
    1: 07.858 N 0.689 N 1: 08.547
    1: 08.547 N 0.458 V 1: 09.006
    1: 09,006 V 0,969 N 1: 09,975
    1: 09,975 N 0,753 N 1: 10,728
    1: 10,728 N 0,750 N 1: 11,478
    1: 11,478 N 0,736 N 1: 12,214
    1: 12,214 N 0,714 N 1: 12,928
    1: 12,928 N 0,728 N 1: 13,656
    1: 13.656 N 0.708 N 1: 14.364
    1: 14.364 N 0.692 N 1: 15.056
    1: 15.056 N 0.703 N 1: 15.758
    1: 15.758 N 0.711 N 1: 16.469
    1: 16,469 N 0,739 N 1: 17,208
    1: 17,208 N 0,753 N 1: 17,961
    1: 17,961 N 0,747 N 1: 18,708
    1: 18,708 N 0,708 N 1: 19,417
    1: 19,417 N 0,681 N 1: 20,097
    1: 20,097 N 0,706 N 1: 20,803
    1: 20.803 N 0.722 N 1: 21.525
    1: 21,525 N 0,711 N 1: 22,236
    1: 22,236 N 0,733 N 1: 22,969
    1: 22,969 N 0,744 N 1: 23,714
    1: 23,714 N 0,733 N 1: 24,447
    1: 24,447 N 0,725 N 1: 25,172
    1: 25.172 N 0.708 N 1: 25.881
    1: 25,881 N 0,689 N 1: 26,569
    1: 26,569 N 0,697 N 1: 27,267
    1: 27,267 N 0,703 N 1: 27,969
    1: 27,969 N 0,736 N 1: 28,706
    1: 28,706 N 0,758 N 1: 29,464
    1: 29,464 N 0,747 N 1: 30,211
    1: 30,211 N 0,719 N 1: 30,931
    1: 30,931 N 0,697 N 1: 31,628
    1: 31,628 N 0,689 N 1: 32,317
    1: 32,317 N 0,711 N 1: 33,028
    1: 33.028 N 0.719 N 1: 33.747
    1: 33,747 N 0,725 N 1: 34,472
    1: 34,472 N 0,733 N 1: 35,206
    1: 35,206 N 0,744 N 1: 35,950
    1: 35,950 N 0,767 N 1: 36,717
    1: 36,717 N 0,717 N 1: 37,433
    1: 37,433 N 0,683 N 1: 38,177
    1: 38.117 N 0.692 N 1: 38.808
    1: 38,808 N 0,719 N 1: 39,528
    1: 39,528 N 0,731 N 1: 40,258
    1: 40,258 N 0,758 N 1: 41,017
    1: 41,017 N 0,742 N 1: 41,758
    1: 41,758 N 0,444 V 1: 42,203
    1: 42.203 V 0.994 N 1: 43.197
    1: 43,197 N 0,728 N 1: 43,925
    1: 43,925 N 0,703 N 1: 44,628
    1: 44,628 N 0,692 N 1: 45,319
    1: 45,319 N 0,697 N 1: 46,017
    1: 46,017 N 0,733 N 1: 46,750
    1: 46,750 N 0,728 N 1: 47,478
    1: 47,478 N 0,742 N 1: 48,219
    1: 48,219 N 0,739 N 1: 48,958
    1: 48,958 N 0,700 N 1: 49,658
    1: 49,658 N 0,675 N 1: 50,333
    1: 50,333 N 0,708 N 1: 51,042
    1: 51,042 N 0,711 N 1: 51,753
    1: 51,7575 N 0,717 N 1: 52,469
    1: 52,469 N 0,711 N 1: 53,181
    1: 53,181 N 0,733 N 1: 53,914
    1: 53,914 N 0,731 N 1: 54,644
    1: 54,644 N 0,708 N 1: 55,353
    1: 55,353 N 0,706 N 1: 56,058
    1: 56,058 N 0,683 N 1: 56,742
    1: 56,742 N 0,686 N 1: 57,428
    1: 57,428 N 0,694 N 1: 58,122
    1: 58,122 N 0,747 N 1: 58,869
    1: 58,869 N 0,736 N 1: 59,606
    1: 59.606 N 0.733 N 2: 00.339
    2: 00.339 N 0.697 N 2: 01.036
